Name,Age,Team,League,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Jake Reed,30,LAD,NL,0,0,0.0,81.0,1,0,0,0,0,0,0.2,5,6,6,1,1,0,1,0,0,0,7,8,24.29,9.0,67.5,13.5,13.5,13.5,1.0
Denyi Reyes,26,NYM,NL,0,1,0.0,6.14,6,1,1,0,0,0,7.1,8,5,5,2,3,0,8,0,0,0,32,70,5.88,1.5,9.8,2.5,3.7,9.8,2.67
Gerardo Reyes,30,LAA,AL,0,0,0.0,7.94,4,0,0,0,0,0,5.2,5,5,5,1,4,0,4,2,0,1,28,59,7.35,1.588,7.9,1.6,6.4,6.4,1.0
Pablo Reyes,29,BOS,AL,0,0,0.0,9.0,1,0,1,0,0,0,1.0,2,1,1,0,2,0,0,0,0,0,7,69,9.29,4.0,18.0,0.0,18.0,0.0,0.0
Trevor Richards,30,TOR,AL,1,1,0.5,3.1,34,3,3,0,0,0,49.1,37,18,17,8,20,0,75,2,0,1,205,136,3.69,1.155,6.8,1.5,3.6,13.7,3.75
Yacksel Ríos,30,OAK,AL,0,0,0.0,37.8,3,0,2,0,0,0,1.2,3,7,7,1,6,0,2,0,0,2,14,13,19.49,5.4,16.2,5.4,32.4,10.8,0.33
David Robertson,38,NYM,NL,4,2,0.667,2.08,39,0,26,0,0,14,43.1,31,13,10,5,13,1,48,2,0,4,170,200,3.61,1.015,6.4,1.0,2.7,10.0,3.69
Nick Robertson,24,LAD,NL,0,1,0.0,6.1,9,0,2,0,0,0,10.1,17,10,7,1,4,0,13,0,0,0,50,75,3.19,2.032,14.8,0.9,3.5,11.3,3.25
Carlos Rodón ,30,NYY,AL,0,3,0.0,7.36,3,3,0,0,0,0,14.2,12,12,12,4,9,0,11,0,0,4,65,59,7.18,1.432,7.4,2.5,5.5,6.8,1.22
Dereck Rodríguez,31,TOT,MLB,0,0,0.0,2.7,3,0,3,0,0,0,3.1,2,1,1,0,2,0,1,0,0,0,14,199,4.49,1.2,5.4,0.0,5.4,2.7,0.5
Dereck Rodríguez,31,MIN,AL,0,0,0.0,13.5,1,0,1,0,0,0,0.2,1,1,1,0,1,0,0,0,0,0,4,49,7.79,3.0,13.5,0.0,13.5,0.0,0.0
Dereck Rodríguez,31,ATL,NL,0,0,0.0,0.0,2,0,2,0,0,0,2.2,1,0,0,0,1,0,1,0,0,0,10,0,3.66,0.75,3.4,0.0,3.4,3.4,1.0
Eduardo Rodriguez ,30,DET,AL,6,5,0.545,2.69,14,14,0,0,0,0,83.2,63,27,25,8,18,0,88,2,0,1,328,161,3.15,0.968,6.8,0.9,1.9,9.5,4.89
Elvin Rodriguez,25,TBR,AL,0,0,0.0,0.0,1,0,1,0,0,0,3.1,0,0,0,0,0,0,5,0,0,0,10,0,0.29,0.0,0.0,0.0,0.0,13.5,0.0
Grayson Rodriguez,23,BAL,AL,2,2,0.5,6.91,12,12,0,0,0,0,56.0,68,44,43,13,25,0,66,0,0,3,253,61,5.29,1.661,10.9,2.1,4.0,10.6,2.64
Joely Rodríguez ,31,BOS,AL,0,0,0.0,9.0,9,0,0,0,0,0,8.0,9,9,8,2,6,0,10,0,0,0,38,54,6.29,1.875,10.1,2.3,6.8,11.3,1.67
José Rodríguez,27,SEA,AL,0,0,0.0,9.0,1,0,1,0,0,0,3.0,3,3,3,0,1,0,1,0,0,0,12,51,3.62,1.333,9.0,0.0,3.0,3.0,1.0
Yerry Rodríguez,25,TEX,AL,0,0,0.0,5.06,11,0,8,0,0,0,10.2,14,6,6,1,3,1,11,0,0,0,49,89,3.29,1.594,11.8,0.8,2.5,9.3,3.67
Taylor Rogers ,32,SFG,NL,5,3,0.625,3.03,38,0,5,0,0,1,32.2,19,12,11,4,16,2,42,3,0,2,135,143,4.05,1.071,5.2,1.1,4.4,11.6,2.63
